"Source:","C:\Users\tomwi\OneDrive\Documents\School\EEC 105 EE-Emerge\Aetherharp Project\KiCad\Bela HAT PCB\Bela_HAT_PCB.kicad_sch"
"Date:","5/31/2022 2:20:12 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey/Mouser PN","MPN","Mouser/Digikey PN"
"","","C1","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C2","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C3","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C4","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C5","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C6","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C7","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C8","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","C9","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"","","J1","RJ12","Connector:RJ12","Connector_RJ:RJ12_Amphenol_54601","~","Mouser:  490-CRJ030-G-TH ","CRJ030-G-TH ",""
"","","J2","RJ12","Connector:RJ12","Connector_RJ:RJ12_Amphenol_54601","~","Mouser:  490-CRJ030-G-TH ","CRJ030-G-TH ",""
